train_accuracy,test_accuracy,train_loss,test_loss,mean_cka_to_final,component_0_importance,component_1_importance,component_2_importance,component_3_importance,component_4_importance,component_5_importance,component_6_importance,component_7_importance,component_8_importance,component_9_importance,component_10_importance,component_11_importance,component_12_importance,component_13_importance,component_14_importance,component_15_importance,component_16_importance,component_17_importance,component_18_importance,component_19_importance,component_20_importance,component_21_importance,component_22_importance,component_23_importance,seed,step
0.05882352963089943,0.05882352963089943,3.21036696434021,3.21036696434021,0.20127809373661876,0.0061228275299072266,-0.01808929443359375,0.0020978450775146484,0.0018715858459472656,-0.02692413330078125,0.009256124496459961,-0.007437229156494141,-0.0159909725189209,0.01273202896118164,0.017110586166381836,0.004130840301513672,-0.02034759521484375,-0.018228769302368164,0.007272481918334961,-0.006525754928588867,-0.02121591567993164,0.0029151439666748047,-0.0002384185791015625,-3.337860107421875e-06,-0.013426780700683594,0.00845026969909668,0.014494180679321289,-0.0048427581787109375,0.0032269954681396484,2,0
1.0,1.0,0.0031487138476222754,0.0031487138476222754,0.895556777715683,0.20045051560737193,0.942243596771732,0.28680818364955485,0.4555099515710026,0.005757765145972371,0.005977944703772664,0.0016542852390557528,0.005652405554428697,0.0014603536110371351,0.003536824369803071,0.03492224053479731,0.0006415529642254114,0.33499588654376566,0.9114335386548191,0.6526623575482517,0.3185758499894291,0.0008285415824502707,0.000987272011116147,0.0010801979806274176,0.001043457305058837,0.0009090385865420103,0.0015118506271392107,0.0012252007145434618,0.0011286090593785048,2,100
1.0,1.0,0.00133610051125288,0.00133610051125288,0.9210428595542908,0.20233323890715837,1.006095883436501,0.31380703765898943,0.5126269431784749,0.005044321063905954,0.005780095234513283,0.001204375410452485,0.00517253065481782,0.0007949525024741888,0.0032712104730308056,0.03875866252928972,0.00033754599280655384,0.3566835196688771,0.9581201644614339,0.6628095479682088,0.32181012351065874,0.0004501122748479247,0.0005169542273506522,0.0006092581897974014,0.0005623357137665153,0.000462773023173213,0.0008380040526390076,0.0006465644109994173,0.0006286043208092451,2,200
1.0,1.0,0.0007784613990224898,0.0007784613990224898,0.935643881559372,0.2112959822989069,1.051387642917689,0.3351551344967447,0.56323746353155,0.004482654330786318,0.005361270566936582,0.0011030295281670988,0.005404467636253685,0.0005576429539360106,0.0032607712200842798,0.04183729871874675,0.00021878647385165095,0.38419417053228244,1.0106346359825693,0.6843525519943796,0.3299294760799967,0.00030721601797267795,0.00034572166623547673,0.00042129989014938474,0.0003762788255698979,0.00030174554558470845,0.0005775036406703293,0.0004313222016207874,0.00042871228652074933,2,300
1.0,1.0,0.0005220664897933602,0.0005220664897933602,0.9456062912940979,0.2203141258796677,1.0883936391910538,0.35152865515556186,0.6044533358654007,0.003959963913075626,0.00473438564222306,0.0010650214971974492,0.0060199875151738524,0.0004405194194987416,0.003227633307687938,0.044404472573660314,0.00015654810704290867,0.41027377115096897,1.0613902317127213,0.705537568195723,0.33943841920699924,0.00023160141427069902,0.0002567187766544521,0.0003195187309756875,0.0002780138747766614,0.000218852364923805,0.000436638540122658,0.00031840935116633773,0.00032152823405340314,2,400
1.0,1.0,0.0003806046734098345,0.0003806046734098345,0.9529245495796204,0.22822290737531148,1.11976316649816,0.3649204977264162,0.6385017939319368,0.0034899232850875705,0.004109588306164369,0.0010410053364466876,0.006819445959990844,0.00037201805389486253,0.003165289614116773,0.04666938338777982,0.00011928527965210378,0.4334392555465456,1.1099150486697908,0.725436777662253,0.3493585594405886,0.00018525603809393942,0.00020293050329200923,0.0002563939488027245,0.0002183140313718468,0.00016943077207542956,0.0003488548391032964,0.00025008272496052086,0.00025535657186992466,2,500
1.0,1.0,0.0002931567432824522,0.0002931567432824522,0.9585814476013184,0.2349127022025641,1.146908381342655,0.3762393978831824,0.6673078325984534,0.0030735906620975584,0.0035423839872237295,0.0010170447349082679,0.007670685037737712,0.0003273078764323145,0.0030832808406557888,0.048732855677371845,9.502217289991677e-05,0.45317260301089846,1.1561355379817542,0.7440027383563574,0.3592330900428351,0.00015414398512803018,0.00016714094090275466,0.0002136505499947816,0.00017858389765024185,0.00013702097930945456,0.00028926346567459404,0.00020484018023125827,0.00021067846682853997,2,600
1.0,1.0,0.00023471834720112383,0.00023471834720112383,0.9631267488002777,0.2406065809482243,1.170773272489896,0.3859496164077427,0.6921207952254917,0.0027104430773761123,0.0030431839113589376,0.0009900030854623765,0.008502700453391299,0.000295812584226951,0.0029908673313912004,0.05066108432947658,7.822795305401087e-05,0.46994141218601726,1.1998094367736485,0.7612786936515477,0.3688583421462681,0.00013188214506953955,0.0001417143503203988,0.0001828553795348853,0.0001504402025602758,0.00011429222649894655,0.000246331823291257,0.0001728793140500784,0.0001786003413144499,2,700
1.0,1.0,0.00019338619313202798,0.00019338619313202798,0.9668899178504944,0.24552786457934417,1.1920412491599564,0.39437914002337493,0.7137797783652786,0.002397410018602386,0.0026108796300832182,0.0009601860365364701,0.009283838007831946,0.0002722296630963683,0.0028950317355338484,0.052487530891085044,6.604063673876226e-05,0.48443403947749175,1.2409234951774124,0.7773844312469009,0.37818470704951324,0.0001152266631834209,0.00012276877532713115,0.0001596400106791407,0.00012953820987604558,9.757516090758145e-05,0.00021397994714789093,0.00014921053661964834,0.00015451267245225608,2,800
1.0,1.0,0.00016289079212583601,0.00016289079212583601,0.9700759947299957,0.24984715259051882,1.211235591530567,0.40180597579455934,0.7329008070228156,0.002130234701326117,0.002241062553366646,0.0009286601271014661,0.010005002230172977,0.00025369899231009185,0.0028013962728437036,0.05422668284154497,5.686331132892519e-05,0.4972359923121985,1.2796853271720465,0.7924779740569647,0.3872400013206061,0.00010227534221485257,0.00010810789535753429,0.00014150168863125145,0.00011345022358000278,8.478920790366828e-05,0.0001887654361780733,0.0001309883955400437,0.0001357782748527825,2,900
