component,layer,index,delta_loss,delta_accuracy,seed,step,probe_split
head,1,1,0.1715714274905622,0.0449826717376709,0,300,full_table
head,1,2,0.22991555323824286,0.07958477735519409,0,300,full_table
head,1,3,0.35828248551115394,0.11418682336807251,0,300,full_table
mlp_group,1,0,0.0002226575743407011,0.0,0,300,full_table
mlp_group,1,1,0.0002398250508122146,0.0,0,300,full_table
mlp_group,1,2,0.0004898117622360587,0.0,0,300,full_table
mlp_group,1,3,0.0003954201238229871,0.0,0,300,full_table
mlp_group,1,4,0.0004589055897668004,0.0,0,300,full_table
mlp_group,1,5,0.0004374813288450241,0.0,0,300,full_table
mlp_group,1,6,0.0003686866257339716,0.0,0,300,full_table
mlp_group,1,7,0.00025000597815960646,0.0,0,300,full_table
head,0,0,1.0502415655646473,0.2906574606895447,0,400,full_table
head,0,1,1.212570762494579,0.2802768349647522,0,400,full_table
head,0,2,0.6586200355086476,0.2006920576095581,0,400,full_table
head,0,3,1.1484642981085926,0.30449825525283813,0,400,full_table
mlp_group,0,0,0.0001550008892081678,0.0,0,400,full_table
mlp_group,0,1,0.00030496844556182623,0.0,0,400,full_table
mlp_group,0,2,0.00197120220400393,0.0,0,400,full_table
mlp_group,0,3,0.005283118458464742,0.0,0,400,full_table
mlp_group,0,4,0.0001668050535954535,0.0,0,400,full_table
mlp_group,0,5,0.011905019404366612,0.0069203972816467285,0,400,full_table
mlp_group,0,6,0.0007355366833508015,0.0,0,400,full_table
mlp_group,0,7,0.0002015141653828323,0.0,0,400,full_table
head,1,0,0.3029876409564167,0.10726642608642578,0,400,full_table
head,1,1,0.17320961342193186,0.04152250289916992,0,400,full_table
head,1,2,0.2405259816441685,0.08304500579833984,0,400,full_table
head,1,3,0.37140173302032053,0.11072665452957153,0,400,full_table
mlp_group,1,0,0.00016185815911740065,0.0,0,400,full_table
mlp_group,1,1,0.0001723140012472868,0.0,0,400,full_table
mlp_group,1,2,0.0003648304264061153,0.0,0,400,full_table
mlp_group,1,3,0.0002970376517623663,0.0,0,400,full_table
mlp_group,1,4,0.0003481150488369167,0.0,0,400,full_table
mlp_group,1,5,0.0003289893502369523,0.0,0,400,full_table
mlp_group,1,6,0.00027298799250274897,0.0,0,400,full_table
mlp_group,1,7,0.00018307106802240014,0.0,0,400,full_table
head,0,0,1.0994662985322066,0.2975778579711914,0,500,full_table
head,0,1,1.2452183708664961,0.29411762952804565,0,500,full_table
head,0,2,0.6784439429757185,0.20761245489120483,0,500,full_table
head,0,3,1.1831850752350874,0.30449825525283813,0,500,full_table
mlp_group,0,0,0.00012268481077626348,0.0,0,500,full_table
mlp_group,0,1,0.0002476061345078051,0.0,0,500,full_table
mlp_group,0,2,0.002114205213729292,0.0,0,500,full_table
mlp_group,0,3,0.006395109288860112,0.003460228443145752,0,500,full_table
mlp_group,0,4,0.00013355966075323522,0.0,0,500,full_table
mlp_group,0,5,0.014418485399801284,0.0069203972816467285,0,500,full_table
mlp_group,0,6,0.0006374132935889065,0.0,0,500,full_table
mlp_group,0,7,0.0001591834588907659,0.0,0,500,full_table
head,1,0,0.3075227186200209,0.10726642608642578,0,500,full_table
head,1,1,0.17499441356630996,0.0449826717376709,0,500,full_table
head,1,2,0.25053608865709975,0.08650517463684082,0,500,full_table
head,1,3,0.38320035190554336,0.11418682336807251,0,500,full_table
mlp_group,1,0,0.00012515031266957521,0.0,0,500,full_table
mlp_group,1,1,0.00013191410107538104,0.0,0,500,full_table
mlp_group,1,2,0.0002880397951230407,0.0,0,500,full_table
mlp_group,1,3,0.00023552903439849615,0.0,0,500,full_table
mlp_group,1,4,0.0002787179546430707,0.0,0,500,full_table
mlp_group,1,5,0.0002608473878353834,0.0,0,500,full_table
mlp_group,1,6,0.00021463190205395222,0.0,0,500,full_table
mlp_group,1,7,0.0001425259979441762,0.0,0,500,full_table
head,0,0,1.1422140176291578,0.30449825525283813,0,600,full_table
head,0,1,1.2727094466681592,0.2975778579711914,0,600,full_table
head,0,2,0.6949806387419812,0.20761245489120483,0,600,full_table
head,0,3,1.2121468360419385,0.30449825525283813,0,600,full_table
mlp_group,0,0,0.00010076974285766482,0.0,0,600,full_table
mlp_group,0,1,0.00020799777121283114,0.0,0,600,full_table
mlp_group,0,2,0.00231583061395213,0.0,0,600,full_table
mlp_group,0,3,0.0074846960487775505,0.003460228443145752,0,600,full_table
mlp_group,0,4,0.0001110592857003212,0.0,0,600,full_table
mlp_group,0,5,0.017060841142665595,0.0069203972816467285,0,600,full_table
mlp_group,0,6,0.0005690428661182523,0.0,0,600,full_table
mlp_group,0,7,0.00013049005065113306,0.0,0,600,full_table
head,1,0,0.3120880599017255,0.11072665452957153,0,600,full_table
head,1,1,0.17689363908721134,0.0449826717376709,0,600,full_table
head,1,2,0.2598957295413129,0.08304500579833984,0,600,full_table
head,1,3,0.3941432709689252,0.11418682336807251,0,600,full_table
mlp_group,1,0,0.00010087384725920856,0.0,0,600,full_table
mlp_group,1,1,0.0001054455351550132,0.0,0,600,full_table
mlp_group,1,2,0.0002365228720009327,0.0,0,600,full_table
mlp_group,1,3,0.00019374661496840417,0.0,0,600,full_table
mlp_group,1,4,0.00023152283392846584,0.0,0,600,full_table
