train_accuracy,train_loss,heldout_accuracy,heldout_loss,full_table_accuracy,full_table_loss,mean_cka_to_final,component_0_importance,component_1_importance,component_2_importance,component_3_importance,component_4_importance,component_5_importance,component_6_importance,component_7_importance,component_8_importance,component_9_importance,component_10_importance,component_11_importance,component_12_importance,component_13_importance,component_14_importance,component_15_importance,component_16_importance,component_17_importance,component_18_importance,component_19_importance,component_20_importance,component_21_importance,component_22_importance,component_23_importance,seed,step
0.06574394553899765,2.9543588161468506,nan,nan,0.06574394553899765,2.9543588161468506,0.20111797959543765,0.0019538402557373047,-0.005432605743408203,-0.0027027130126953125,0.0009698867797851562,-0.004214286804199219,-0.0036253929138183594,0.00228118896484375,0.005175590515136719,-0.0058934688568115234,0.008326292037963867,0.01035451889038086,-0.0061855316162109375,0.0010306835174560547,-0.0016214847564697266,0.00154876708984375,0.0030341148376464844,-0.004924774169921875,0.0038552284240722656,-0.005585908889770508,0.00177001953125,0.001967906951904297,0.0003325939178466797,-0.000701904296875,0.006071567535400391,0,0
1.0,0.0025284886360168457,nan,nan,1.0,0.0025284886360168457,0.907290518283844,0.8270223140716553,1.0520303845405579,0.5658466815948486,0.9771941900253296,0.0005374152678996325,0.0009691254235804081,0.0023440122604370117,0.003090107347816229,0.000558414263650775,0.005606725811958313,0.0016760900616645813,0.0007262772414833307,0.301302433013916,0.16839909553527832,0.21129749715328217,0.3304688632488251,0.00064456881955266,0.0006924890913069248,0.0013273637741804123,0.0010357238352298737,0.00112068559974432,0.0011017699725925922,0.0010199123062193394,0.0006954467389732599,0,100
1.0,0.0011459111701697111,nan,nan,1.0,0.0011459111701697111,0.9307565987110138,0.9215214729774743,1.1199138641823083,0.6015088439453393,1.0482385635841638,0.00030267098918557167,0.0005590001819655299,0.0019386736676096916,0.0033428960014134645,0.0003178123151883483,0.007379856193438172,0.001140684587880969,0.0003951957914978266,0.29507063631899655,0.17002563481219113,0.21930873696692288,0.3432892442215234,0.00033878558315336704,0.00036917522083967924,0.0007239148253574967,0.0005750191630795598,0.0006593171274289489,0.0006335480138659477,0.000549853197298944,0.00037732510827481747,0,200
1.0,0.0006835372187197208,nan,nan,1.0,0.0006835372187197208,0.9438150227069855,0.9921678393147886,1.1722449152730405,0.6338622658513486,1.1052240221761167,0.00020691019017249346,0.00039530638605356216,0.0018991127144545317,0.004214006941765547,0.00022022699704393744,0.009561994578689337,0.000885949470102787,0.00026951939798891544,0.29854963114485145,0.1715714274905622,0.22991555323824286,0.35828248551115394,0.0002226575743407011,0.0002398250508122146,0.0004898117622360587,0.0003954201238229871,0.0004589055897668004,0.0004374813288450241,0.0003686866257339716,0.00025000597815960646,0,300
1.0,0.0004638673271983862,nan,nan,1.0,0.0004638673271983862,0.9525547325611115,1.0502415655646473,1.212570762494579,0.6586200355086476,1.1484642981085926,0.0001550008892081678,0.00030496844556182623,0.00197120220400393,0.005283118458464742,0.0001668050535954535,0.011905019404366612,0.0007355366833508015,0.0002015141653828323,0.3029876409564167,0.17320961342193186,0.2405259816441685,0.37140173302032053,0.00016185815911740065,0.0001723140012472868,0.0003648304264061153,0.0002970376517623663,0.0003481150488369167,0.0003289893502369523,0.00027298799250274897,0.00018307106802240014,0,400
1.0,0.00034024863271042705,nan,nan,1.0,0.00034024863271042705,0.9589500725269318,1.0994662985322066,1.2452183708664961,0.6784439429757185,1.1831850752350874,0.00012268481077626348,0.0002476061345078051,0.002114205213729292,0.006395109288860112,0.00013355966075323522,0.014418485399801284,0.0006374132935889065,0.0001591834588907659,0.3075227186200209,0.17499441356630996,0.25053608865709975,0.38320035190554336,0.00012515031266957521,0.00013191410107538104,0.0002880397951230407,0.00023552903439849615,0.0002787179546430707,0.0002608473878353834,0.00021463190205395222,0.0001425259979441762,0,500
1.0,0.0002628986840136349,nan,nan,1.0,0.0002628986840136349,0.9639043807983398,1.1422140176291578,1.2727094466681592,0.6949806387419812,1.2121468360419385,0.00010076974285766482,0.00020799777121283114,0.00231583061395213,0.0074846960487775505,0.0001110592857003212,0.017060841142665595,0.0005690428661182523,0.00013049005065113306,0.3120880599017255,0.17689363908721134,0.2598957295413129,0.3941432709689252,0.00010087384725920856,0.0001054455351550132,0.0002365228720009327,0.00019374661496840417,0.00023152283392846584,0.00021447546896524727,0.00017560238484293222,0.00011563746375031769,0,600
1.0,0.00021080100850667804,nan,nan,1.0,0.00021080100850667804,0.9678968489170074,1.1800738183228532,1.2965383139817277,0.7091682163445512,1.2369695512024919,8.501594129484147e-05,0.0001790877286111936,0.002569866497651674,0.008524912540451623,9.493505058344454e-05,0.019794583451584913,0.0005192269600229338,0.00010988490248564631,0.31670453226251993,0.17889656698389445,0.26870661055727396,0.40451785003824625,8.380405779462308e-05,8.698531019035727e-05,0.00019980607612524182,0.00016370716912206262,0.0001975344930542633,0.00018111673125531524,0.0001478641788708046,9.666052937973291e-05,0,700
1.0,0.0001737902348395437,nan,nan,1.0,0.0001737902348395437,0.9712089598178864,1.2141366174037103,1.3176554610545281,0.7215867807681207,1.2586966922099236,7.319427095353603e-05,0.00015708175487816334,0.0028711437771562487,0.009507065784418955,8.283820352517068e-05,0.02258958123275079,0.00048175649135373533,9.443218004889786e-05,0.3213941623980645,0.1809988190943841,0.27708806298323907,0.4145110418612603,7.121384260244668e-05,7.348175859078765e-05,0.0001724154280964285,0.00014114007353782654,0.00017197421402670443,0.0001560701639391482,0.0001271874352823943,8.262431947514415e-05,0,800
1.0,0.00014639408618677408,nan,nan,1.0,0.00014639408618677408,0.9740178883075714,1.2451749989268137,1.3366962620493723,0.7326145121332956,1.2780449339625193,6.402366852853447e-05,0.00013981452502775937,0.0032131418556673452,0.010429059664602391,7.347195059992373e-05,0.025421377780730836,0.0004529436555458233,8.245624485425651e-05,0.3261824497458292,0.1832001456496073,0.28513740985363256,0.42424481599300634,6.159037002362311e-05,6.321359251160175e-05,0.00015126554353628308,0.00012361737026367337,0.0001520876685390249,0.00013665207370650023,0.00011124262528028339,7.185223512351513e-05,0,900
1.0,0.00012543363845907152,nan,nan,1.0,0.00012543363845907152,0.9764415621757507,1.2737633927317802,1.3541078312846366,0.7425227506610099,1.295532558724517,5.6726872571744025e-05,0.00012592942221090198,0.003589322936022654,0.01129568149917759,6.603071233257651e-05,0.02827109643840231,0.00043047897634096444,7.292526424862444e-05,0.3310787125083152,0.18550426201545633,0.292937104270095,0.43380293683730997,5.4030591854825616e-05,5.521519051399082e-05,0.00013450239202938974,0.00010966391710098833,0.000136213144287467,0.00012119646999053657,9.860885620582849e-05,6.33615127298981e-05,0,1000
1.0,0.0001089848083211109,nan,nan,1.0,0.0001089848083211109,0.978562593460083,1.300333353181486,1.3702184878784465,0.7515124403435038,1.3115400992828654,5.0787333748303354e-05,0.00011453598563093692,0.0039924494485603645,0.01211229847103823,5.9950107242912054e-05,0.031121360560064204,0.0004128447762923315,6.519582530017942e-05,0.3360919677215861,0.18791111042082775,0.30054912199557293,0.4432397209602641,4.793463449459523e-05,4.879143671132624e-05,0.0001208911562571302,9.830390627030283e-05,0.00012325223360676318,0.00010861220653168857,8.83435714058578e-05,5.650742969010025e-05,0,1100
1.0,9.576886805007234e-05,nan,nan,1.0,9.576886805007234e-05,0.9804394841194153,1.3252188721307903,1.3852752009042888,0.75974150091497,1.3263556519159465,4.587621515383944e-05,0.00010503862722544,0.004414912276843097,0.012885325551906135,5.494811193784699e-05,0.03396260082809022,0.0003989655742770992,5.880110984435305e-05,0.3412357130655437,0.1904262909301906,0.3080235579618602,0.4526019850381999,4.2948835471179336e-05,4.356280987849459e-05,0.00010964678222080693,8.889822493074462e-05,0.00011249045928707346,9.821933781495318e-05,7.988120341906324e-05,5.087140743853524e-05,0,1200
1.0,8.497713861288503e-05,nan,nan,1.0,8.497713861288503e-05,0.9821166098117828,1.3486911249274272,1.3994747591132182,0.7673416924590128,1.3402010393256205,4.174708010395989e-05,9.699608926894143e-05,0.004850467659707647,0.013621775891806465,5.073475040262565e-05,0.036778294008399826,0.0003881289085256867,5.343776865629479e-05,0.3465157640093821,0.19304782570543466,0.31539600015821634,0.461920012246992,3.878016286762431e-05,3.920651943190023e-05,0.00010018335160566494,8.095950033748522e-05,0.00010338117863284424,8.946439629653469e-05,7.27553924662061e-05,4.615217767423019e-05,0,1300
1.0,7.601122342748567e-05,nan,nan,1.0,7.601122342748567e-05,0.9836260080337524,1.370955273108848,1.412964149909385,0.7744133319429238,1.353264614539512,3.8219019188545644e-05,9.010513167595491e-05,0.005292736525007058,0.014327906603284646,4.7134111810009927e-05,0.03955817555106478,0.00037979504122631624,4.887999239144847e-05,0.3519425537160714,0.19578082819498377,0.3226968791059335,0.4712297167352517,3.5265853512100875e-05,3.553963324520737e-05,9.213742305291817e-05,7.419329631375149e-05,9.559098543832079e-05,8.200463344110176e-05,6.66888736304827e-05,4.214449290884659e-05,0,1400
1.0,6.84616097714752e-05,nan,nan,1.0,6.84616097714752e-05,0.9849943518638611,1.3921956661215518,1.4258815887442324,0.781059348868439,1.3656936529150698,3.519352321745828e-05,8.415646152570844e-05,0.005736887833336368,0.015009200113127008,4.40663134213537e-05,0.042305221693823114,0.0003735582286026329,4.496578185353428e-05,0.357514107512543,0.19862506716162898,0.32995002894313075,0.480548376130173,3.2250005460809916e-05,3.241616650484502e-05,8.519997936673462e-05,6.836641114205122e-05,8.88662034412846e-05,7.559811638202518e-05,6.147146632429212e-05,3.8713573303539306e-05,0,1500
1.0,6.203134398674592e-05,nan,nan,1.0,6.203134398674592e-05,0.986240029335022,1.4125451616491773,1.4383244089331129,0.7873374394621351,1.3776013426031568,3.255228511989117e-05,7.89728292147629e-05,0.006182313758472446,0.015675396054575685,4.1374776628799736e-05,0.045003442421148065,0.0003691644305945374,4.156284558121115e-05,0.3632396332468488,0.20157988588471198,0.3371566406931379,0.4898994735922315,2.9637434636242688e-05,2.9722774343099445e-05,7.916162576293573e-05,6.327483424684033e-05,8.296095620607957e-05,7.00066375429742e-05,5.693463026545942e-05,3.574034781195223e-05,0,1600
1.0,5.649238300975412e-05,nan,nan,1.0,5.649238300975412e-05,0.9873808026313782,1.4321261772565776,1.4503611454420025,0.7933182248525554,1.3890763649396831,3.0238421459216624e-05,7.441494381055236e-05,0.006623711684369482,0.016326972996466793,3.9022408600430936e-05,0.04765586346911732,0.0003664174146251753,3.860682772938162e-05,0.369121087496751,0.20465329081343953,0.3443320819787914,0.49929223746585194,2.735886664595455e-05,2.737410250119865e-05,7.38484668545425e-05,5.880898970644921e-05,7.776236452627927e-05,6.510859384434298e-05,5.29423778061755e-05,3.3134456316474825e-05,0,1700
1.0,5.168550706002861e-05,nan,nan,1.0,5.168550706002861e-05,0.9884285628795624,1.4510263717820635,1.4620752847840777,0.7990604556252947,1.4002072132279864,2.81814209301956e-05,7.03649566275999e-05,0.007058163741021417,0.01696547596657183,3.693587495945394e-05,0.05025387472414877,0.0003650620492408052,3.599058254621923e-05,0.37516581184172537,0.2078419989993563,0.3514869428327074,0.5087387478997698,2.535410749260336e-05,2.5293047656305134e-05,6.914384721312672e-05,5.484278517542407e-05,7.312709931284189e-05,6.076054705772549e-05,4.940030339639634e-05,3.0823815905023366e-05,0,1800
1.0,4.74622574984096e-05,nan,nan,1.0,4.74622574984096e-05,0.989393800497055,1.4693683216246427,1.4735365936430753,0.8046143481406034,1.4110684225233854,2.6381327188573778e-05,6.67746426188387e-05,0.0074881629916490056,0.017598325190192554,3.5100762033835053e-05,0.05279944258654723,0.0003651309016277082,3.3676173188723624e-05,0.3813726434382261,0.21114557775581488,0.35861889812076697,0.5182559916647733,2.358069468755275e-05,2.34886902035214e-05,6.49628127575852e-05,5.1312308642081916e-05,6.898515130160376e-05,5.6900673371274024e-05,4.625028668669984e-05,2.8780348657164723e-05,0,1900
1.0,4.373848787508905e-05,nan,nan,1.0,4.373848787508905e-05,0.9902867078781128,1.4871957415307406,1.4847760313714389,0.8100147956574801,1.4216852301324252,2.474326902301982e-05,6.356525409501046e-05,0.007910655956948176,0.018224364292109385,3.345566801726818e-05,0.05528717130073346,0.0003664664109237492,3.162072243867442e-05,0.3877458685601596,0.21456952035077848,0.3657406979764346,0.5278537386620883,2.1989551896695048e-05,2.186043275287375e-05,6.118993042036891e-05,4.813843406736851e-05,6.524172204080969e-05,5.344691453501582e-05,4.3424355681054294e-05,2.694635622901842e-05,0,2000
1.0,4.043872104375623e-05,nan,nan,1.0,4.043872104375623e-05,0.9911128580570221,1.5045742720867565,1.4958497018124035,0.8152984709049633,1.432138177802699,2.3263975890586153e-05,6.066714195185341e-05,0.008325482023792574,0.018843599831598112,3.1965126254362985e-05,0.05772397597684176,0.0003690299672598485,2.975865572807379e-05,0.39427841012729914,0.21811548178447993,0.37283763592495234,0.5375339717174938,2.056129596894607e-05,2.0392595615703613e-05,5.7781155192060396e-05,4.526099291979335e-05,6.18333688180428e-05,5.030407555750571e-05,4.086803164682351e-05,2.5291334168286994e-05,0,2100
1.0,3.747676237253472e-05,nan,nan,1.0,3.747676237253472e-05,0.9918793439865112,1.5215861346878228,1.5068019178070244,0.820502832189959,1.4424600150741753,2.1951265807729214e-05,5.8052675740327686e-05,0.008733284317713697,0.019458138973277528,3.063123585889116e-05,0.06010222773329588,0.0003727410003193654,2.8097842005081475e-05,0.40097714926378103,0.22178006137983175,0.3799254443802056,0.5473112013496575,1.927779521793127e-05,1.9085990061284974e-05,5.47022427781485e-05,4.266636096872389e-05,5.873414920642972e-05,4.747953062178567e-05,3.854550595860928e-05,2.3801672796253115e-05,0,2200
