layer,head,delta_loss,delta_accuracy,seed,step
0,0,1.287280421172909,0.3148788809776306,0,1050
0,1,1.362310151969723,0.30449825525283813,0,1050
0,2,0.7471193479650537,0.21107268333435059,0,1050
0,3,1.303702573692135,0.30103808641433716,0,1050
1,0,0.3335697757356684,0.11764705181121826,0,1050
1,1,0.18669379821949406,0.0519031286239624,0,1050
1,2,0.29676462284260197,0.0968858003616333,0,1050
1,3,0.43853406182461185,0.11764705181121826,0,1050
0,0,1.300333353181486,0.3148788809776306,0,1100
0,1,1.3702184878784465,0.30449825525283813,0,1100
0,2,0.7515124403435038,0.21107268333435059,0,1100
0,3,1.3115400992828654,0.30103808641433716,0,1100
1,0,0.3360919677215861,0.11764705181121826,0,1100
1,1,0.18791111042082775,0.0519031286239624,0,1100
1,2,0.30054912199557293,0.0968858003616333,0,1100
1,3,0.4432397209602641,0.11764705181121826,0,1100
0,0,1.3129662408900913,0.31833910942077637,0,1150
0,1,1.377866043098038,0.30449825525283813,0,1150
0,2,0.7557124629092868,0.21107268333435059,0,1150
0,3,1.319078578002518,0.30103808641433716,0,1150
1,0,0.33864827299839817,0.11764705181121826,0,1150
1,1,0.18915404225117527,0.0519031286239624,0,1150
1,2,0.304300381190842,0.0968858003616333,0,1150
1,3,0.4479287996364292,0.11764705181121826,0,1150
0,0,1.3252188721307903,0.32179927825927734,0,1200
0,1,1.3852752009042888,0.30449825525283813,0,1200
0,2,0.75974150091497,0.21107268333435059,0,1200
0,3,1.3263556519159465,0.30103808641433716,0,1200
1,0,0.3412357130655437,0.11418682336807251,0,1200
1,1,0.1904262909301906,0.0519031286239624,0,1200
1,2,0.3080235579618602,0.0968858003616333,0,1200
1,3,0.4526019850381999,0.11764705181121826,0,1200
0,0,1.3371176853397628,0.32179927825927734,0,1250
0,1,1.3924726381519577,0.3079584836959839,0,1250
0,2,0.7636141910770675,0.21107268333435059,0,1250
0,3,1.3333876266697189,0.2975778579711914,0,1250
1,0,0.3438604607799789,0.11418682336807251,0,1250
1,1,0.19172309186251368,0.0519031286239624,0,1250
1,2,0.31172169592173304,0.0968858003616333,0,1250
1,3,0.4572647049644729,0.11764705181121826,0,1250
0,0,1.3486911249274272,0.32179927825927734,0,1300
0,1,1.3994747591132182,0.31141871213912964,0,1300
0,2,0.7673416924590128,0.21107268333435059,0,1300
0,3,1.3402010393256205,0.2975778579711914,0,1300
1,0,0.3465157640093821,0.11418682336807251,0,1300
1,1,0.19304782570543466,0.05536329746246338,0,1300
1,2,0.31539600015821634,0.10034602880477905,0,1300
1,3,0.461920012246992,0.12110728025436401,0,1300
0,0,1.3599637137522222,0.32179927825927734,0,1350
0,1,1.4063031064142706,0.31141871213912964,0,1350
0,2,0.7709407197107794,0.21107268333435059,0,1350
0,3,1.3468224393000128,0.29411762952804565,0,1350
1,0,0.34921115504403133,0.11418682336807251,0,1350
1,1,0.19440124796528835,0.05536329746246338,0,1350
1,2,0.3190555261244299,0.1038062572479248,0,1350
1,3,0.46657568083901424,0.12456744909286499,0,1350
0,0,1.370955273108848,0.32179927825927734,0,1400
0,1,1.412964149909385,0.31141871213912964,0,1400
0,2,0.7744133319429238,0.21107268333435059,0,1400
0,3,1.353264614539512,0.29411762952804565,0,1400
1,0,0.3519425537160714,0.11072665452957153,0,1400
1,1,0.19578082819498377,0.05536329746246338,0,1400
1,2,0.3226968791059335,0.1038062572479248,0,1400
1,3,0.4712297167352517,0.12456744909286499,0,1400
0,0,1.3816917341391672,0.32179927825927734,0,1450
0,1,1.4194918077628245,0.31141871213912964,0,1450
0,2,0.7777832549254526,0.21107268333435059,0,1450
0,3,1.3595549266974558,0.29411762952804565,0,1450
1,0,0.3547076981703867,0.11072665452957153,0,1450
1,1,0.19718920702143805,0.05536329746246338,0,1450
1,2,0.32632873469992774,0.1038062572479248,0,1450
1,3,0.4758894246260752,0.12456744909286499,0,1450
0,0,1.3921956661215518,0.32179927825927734,0,1500
0,1,1.4258815887442324,0.31141871213912964,0,1500
0,2,0.781059348868439,0.21107268333435059,0,1500
0,3,1.3656936529150698,0.29411762952804565,0,1500
1,0,0.357514107512543,0.11072665452957153,0,1500
1,1,0.19862506716162898,0.05536329746246338,0,1500
1,2,0.32995002894313075,0.1038062572479248,0,1500
1,3,0.480548376130173,0.12456744909286499,0,1500
0,0,1.4024696038322872,0.32179927825927734,0,1550
0,1,1.4321562932091183,0.31141871213912964,0,1550
0,2,0.7842392013626522,0.20761245489120483,0,1550
0,3,1.3717055008964962,0.29411762952804565,0,1550
1,0,0.36035698514751857,0.11072665452957153,0,1550
1,1,0.2000882611828274,0.05536329746246338,0,1550
1,2,0.33355483275227016,0.1038062572479248,0,1550
1,3,0.48521998387150234,0.12456744909286499,0,1550
0,0,1.4125451616491773,0.32179927825927734,0,1600
0,1,1.4383244089331129,0.31141871213912964,0,1600
0,2,0.7873374394621351,0.20761245489120483,0,1600
0,3,1.3776013426031568,0.29411762952804565,0,1600
1,0,0.3632396332468488,0.11072665452957153,0,1600
1,1,0.20157988588471198,0.05536329746246338,0,1600
1,2,0.3371566406931379,0.1038062572479248,0,1600
1,3,0.4898994735922315,0.12456744909286499,0,1600
0,0,1.4224242753589351,0.32179927825927734,0,1650
0,1,1.44438501067998,0.31141871213912964,0,1650
0,2,0.7903641051852901,0.20761245489120483,0,1650
0,3,1.383387286146899,0.29411762952804565,0,1650
1,0,0.3661618120277126,0.11072665452957153,0,1650
1,1,0.2031012661063869,0.05536329746246338,0,1650
1,2,0.3407467491233547,0.10726642608642578,0,1650
1,3,0.49459006257893634,0.12802767753601074,0,1650
0,0,1.4321261772565776,0.32179927825927734,0,1700
0,1,1.4503611454420025,0.31141871213912964,0,1700
0,2,0.7933182248525554,0.20761245489120483,0,1700
0,3,1.3890763649396831,0.29411762952804565,0,1700
1,0,0.369121087496751,0.11072665452957153,0,1700
1,1,0.20465329081343953,0.0519031286239624,0,1700
1,2,0.3443320819787914,0.10726642608642578,0,1700
1,3,0.49929223746585194,0.12802767753601074,0,1700
0,0,1.441660034510278,0.32179927825927734,0,1750
0,1,1.456253516527795,0.31141871213912964,0,1750
0,2,0.7962176679102413,0.20761245489120483,0,1750
0,3,1.3946803687540523,0.29411762952804565,0,1750
1,0,0.37212516650834004,0.10726642608642578,0,1750
1,1,0.20623481557049672,0.0519031286239624,0,1750
1,2,0.34791110739388387,0.11072665452957153,0,1750
1,3,0.5040038107363216,0.12802767753601074,0,1750
0,0,1.4510263717820635,0.32179927825927734,0,1800
0,1,1.4620752847840777,0.3148788809776306,0,1800
0,2,0.7990604556252947,0.20761245489120483,0,1800
0,3,1.4002072132279864,0.2906574606895447,0,1800
1,0,0.37516581184172537,0.10726642608642578,0,1800
1,1,0.2078419989993563,0.05536329746246338,0,1800
1,2,0.3514869428327074,0.11072665452957153,0,1800
1,3,0.5087387478997698,0.1314879059791565,0,1800
0,0,1.4602623885657522,0.32871973514556885,0,1850
0,1,1.4678345626380178,0.3148788809776306,0,1850
0,2,0.801861078121874,0.20761245489120483,0,1850
0,3,1.405672878601763,0.2906574606895447,0,1850
1,0,0.37824863252899377,0.10726642608642578,0,1850
1,1,0.20947927294037072,0.05536329746246338,0,1850
1,2,0.35505431947967736,0.11072665452957153,0,1850
1,3,0.513489872791979,0.1314879059791565,0,1850
0,0,1.4693683216246427,0.32871973514556885,0,1900
0,1,1.4735365936430753,0.3148788809776306,0,1900
0,2,0.8046143481406034,0.20761245489120483,0,1900
0,3,1.4110684225233854,0.2906574606895447,0,1900
1,0,0.3813726434382261,0.10726642608642578,0,1900
1,1,0.21114557775581488,0.05882352590560913,0,1900
1,2,0.35861889812076697,0.11072665452957153,0,1900
1,3,0.5182559916647733,0.1314879059791565,0,1900
0,0,1.4783369260039763,0.32871973514556885,0,1950
0,1,1.4791789012160734,0.3148788809776306,0,1950
0,2,0.8073309617248015,0.20761245489120483,0,1950
0,3,1.416404362222238,0.29411762952804565,0,1950
1,0,0.38453775217203656,0.10726642608642578,0,1950
1,1,0.21284077634481946,0.05882352590560913,0,1950
1,2,0.3621825831141905,0.11072665452957153,0,1950
1,3,0.5230448799338774,0.13494807481765747,0,1950
0,0,1.4871957415307406,0.32871973514556885,0,2000
0,1,1.4847760313714389,0.3148788809776306,0,2000
0,2,0.8100147956574801,0.20761245489120483,0,2000
0,3,1.4216852301324252,0.2906574606895447,0,2000
1,0,0.3877458685601596,0.10726642608642578,0,2000
1,1,0.21456952035077848,0.06228375434875488,0,2000
1,2,0.3657406979764346,0.11072665452957153,0,2000
1,3,0.5278537386620883,0.13494807481765747,0,2000
0,0,1.4959420329760178,0.32871973514556885,0,2050
0,1,1.4903290635775193,0.3148788809776306,0,2050
0,2,0.8126703268717392,0.20761245489120483,0,2050
0,3,1.4269230729769333,0.29411762952804565,0,2050
1,0,0.39098975722299656,0.11072665452957153,0,2050
1,1,0.2163259005974396,0.06228375434875488,0,2050
1,2,0.3692919677923783,0.11072665452957153,0,2050
1,3,0.5326869851778611,0.13840830326080322,0,2050
0,0,1.5045742720867565,0.32871973514556885,0,2100
0,1,1.4958497018124035,0.3148788809776306,0,2100
0,2,0.8152984709049633,0.21107268333435059,0,2100
0,3,1.432138177802699,0.29411762952804565,0,2100
1,0,0.39427841012729914,0.11072665452957153,0,2100
1,1,0.21811548178447993,0.06574392318725586,0,2100
1,2,0.37283763592495234,0.11072665452957153,0,2100
1,3,0.5375339717174938,0.13840830326080322,0,2100
0,0,1.5131335815094644,0.32871973514556885,0,2150
0,1,1.5013365110062296,0.3148788809776306,0,2150
0,2,0.8179125746391946,0.21107268333435059,0,2150
0,3,1.4373170694016153,0.29411762952804565,0,2150
1,0,0.397610064377659,0.11418682336807251,0,2150
1,1,0.21993201576697174,0.06574392318725586,0,2150
1,2,0.3763848503731424,0.11072665452957153,0,2150
1,3,0.5424101909302408,0.13840830326080322,0,2150
0,0,1.5215861346878228,0.3321799039840698,0,2200
0,1,1.5068019178070244,0.3148788809776306,0,2200
0,2,0.820502832189959,0.21107268333435059,0,2200
0,3,1.4424600150741753,0.29411762952804565,0,2200
1,0,0.40097714926378103,0.11764705181121826,0,2200
1,1,0.22178006137983175,0.06574392318725586,0,2200
1,2,0.3799254443802056,0.11072665452957153,0,2200
1,3,0.5473112013496575,0.13840830326080322,0,2200
0,0,1.5299545492125617,0.32871973514556885,0,2250
0,1,1.5122374261809455,0.31833910942077637,0,2250
0,2,0.8230785693122016,0.21107268333435059,0,2250
0,3,1.4475749696684943,0.29411762952804565,0,2250
1,0,0.40439587487708195,0.11764705181121826,0,2250
1,1,0.2236611808730231,0.06920415163040161,0,2250
1,2,0.3834602202368842,0.11072665452957153,0,2250
1,3,0.5522380436850653,0.13840830326080322,0,2250
0,0,1.5382641283940757,0.32871973514556885,0,2300
0,1,1.5176658360433066,0.31833910942077637,0,2300
0,2,0.8256504265737021,0.21107268333435059,0,2300
0,3,1.4526798455190146,0.29411762952804565,0,2300
1,0,0.40785140079970006,0.12456744909286499,0,2300
1,1,0.22557358724588994,0.06920415163040161,0,2300
1,2,0.38700259012694005,0.11072665452957153,0,2300
1,3,0.557186278529116,0.13840830326080322,0,2300
0,0,1.5464866245638405,0.32871973514556885,0,2350
0,1,1.5230701053988014,0.31833910942077637,0,2350
0,2,0.8282083357225929,0.21107268333435059,0,2350
0,3,1.4577592695604835,0.29411762952804565,0,2350
1,0,0.41135332831254345,0.12802767753601074,0,2350
1,1,0.22751667448392254,0.06574392318725586,0,2350
1,2,0.39053306826463086,0.11418682336807251,0,2350
1,3,0.562157400931028,0.13840830326080322,0,2350
0,0,1.5546456477823085,0.3252595067024231,0,2400
0,1,1.5284693143548793,0.31833910942077637,0,2400
0,2,0.8307722113313503,0.21107268333435059,0,2400
0,3,1.462830891388876,0.29411762952804565,0,2400
1,0,0.41489588238619035,0.12802767753601074,0,2400
1,1,0.22949092604540056,0.06574392318725586,0,2400
1,2,0.3940689168157405,0.11418682336807251,0,2400
1,3,0.5671521327676601,0.14186853170394897,0,2400
0,0,1.562746671763307,0.32871973514556885,0,2450
0,1,1.5338522473248304,0.31833910942077637,0,2450
0,2,0.8333320299061597,0.21107268333435059,0,2450
0,3,1.4678979197415174,0.29411762952804565,0,2450
1,0,0.41848575862968573,0.1314879059791565,0,2450
1,1,0.23149408194149146,0.06574392318725586,0,2450
1,2,0.3975970128449262,0.11418682336807251,0,2450
1,3,0.572170762148744,0.14186853170394897,0,2450
0,0,1.570774455451101,0.32871973514556885,0,2500
0,1,1.5392334655753075,0.31833910942077637,0,2500
0,2,0.83587559022817,0.21453285217285156,0,2500
0,3,1.4729469017020165,0.2975778579711914,0,2500
1,0,0.42210706033620227,0.1314879059791565,0,2500
1,1,0.23353414692792285,0.06574392318725586,0,2500
1,2,0.4011213675967156,0.11418682336807251,0,2500
1,3,0.5772175983420311,0.14186853170394897,0,2500
0,0,1.5787597478411044,0.32871973514556885,0,2550
0,1,1.5446142734072055,0.31833910942077637,0,2550
0,2,0.8384345353624667,0.21453285217285156,0,2550
0,3,1.4780032218477572,0.30103808641433716,0,2550
1,0,0.4257819534323062,0.1314879059791565,0,2550
1,1,0.23560613701556576,0.06574392318725586,0,2550
1,2,0.4046490372202243,0.11764705181121826,0,2550
1,3,0.5822901309511508,0.14186853170394897,0,2550
0,0,1.5866895654271502,0.32871973514556885,0,2600
0,1,1.5499977805684466,0.31833910942077637,0,2600
0,2,0.8409962990353961,0.21453285217285156,0,2600
0,3,1.4830672481130023,0.30449825525283813,0,2600
1,0,0.4294937887261767,0.1314879059791565,0,2600
1,1,0.23771593356832454,0.06574392318725586,0,2600
1,2,0.4081650116513629,0.11764705181121826,0,2600
1,3,0.5873914101193805,0.14532870054244995,0,2600
0,0,1.5945813148300658,0.32871973514556885,0,2650
0,1,1.5553601472656737,0.31833910942077637,0,2650
0,2,0.843564101962329,0.21453285217285156,0,2650
0,3,1.48811895540166,0.30449825525283813,0,2650
1,0,0.43325901916432485,0.1314879059791565,0,2650
1,1,0.23985662451195822,0.07266438007354736,0,2650
1,2,0.4116886048595916,0.11764705181121826,0,2650
1,3,0.592520663050891,0.14532870054244995,0,2650
0,0,1.6024385657274252,0.3252595067024231,0,2700
0,1,1.5607587065660482,0.3252595067024231,0,2700
0,2,0.8461561169588094,0.21453285217285156,0,2700
0,3,1.4931834902727132,0.30449825525283813,0,2700
1,0,0.43705290221805626,0.1314879059791565,0,2700
1,1,0.24203428291912132,0.07266438007354736,0,2700
1,2,0.4152150120698934,0.11764705181121826,0,2700
1,3,0.5976858105623251,0.14532870054244995,0,2700
0,0,1.6102307007131458,0.3252595067024231,0,2750
0,1,1.5661546156225086,0.32871973514556885,0,2750
0,2,0.8487387463865161,0.21453285217285156,0,2750
0,3,1.4982462093648792,0.30103808641433716,0,2750
1,0,0.4408891067323566,0.13494807481765747,0,2750
1,1,0.2442394063291431,0.07266438007354736,0,2750
1,2,0.4187388882455707,0.11764705181121826,0,2750
1,3,0.6028790638265491,0.14532870054244995,0,2750
0,0,1.6180035910310835,0.3252595067024231,0,2800
0,1,1.571551187962541,0.32871973514556885,0,2800
0,2,0.8513445100488752,0.21453285217285156,0,2800
0,3,1.503317578763017,0.30449825525283813,0,2800
1,0,0.44477771136189403,0.13494807481765747,0,2800
1,1,0.24648171576882305,0.07266438007354736,0,2800
1,2,0.4222675106229872,0.11764705181121826,0,2800
1,3,0.6080799541177839,0.14532870054244995,0,2800
0,0,1.6257552361148555,0.3252595067024231,0,2850
0,1,1.5769806360858638,0.32871973514556885,0,2850
0,2,0.8539660429614742,0.21453285217285156,0,2850
0,3,1.5084156250613887,0.30449825525283813,0,2850
1,0,0.4487189507144649,0.13494807481765747,0,2850
1,1,0.24876138624131272,0.07266438007354736,0,2850
1,2,0.42579858061253617,0.11764705181121826,0,2850
1,3,0.6133194422382076,0.1487889289855957,0,2850
0,0,1.6334628673957923,0.3252595067024231,0,2900
0,1,1.58240624393693,0.32871973514556885,0,2900
0,2,0.8566022130416968,0.21453285217285156,0,2900
0,3,1.513515076296244,0.3079584836959839,0,2900
1,0,0.4527040335105994,0.13494807481765747,0,2900
1,1,0.25107794131508854,0.07266438007354736,0,2900
1,2,0.42932578052750614,0.11764705181121826,0,2900
1,3,0.6185736271308997,0.1487889289855957,0,2900
0,0,1.6411752361091203,0.3252595067024231,0,2950
0,1,1.5878554242881364,0.32871973514556885,0,2950
0,2,0.859234299066884,0.21453285217285156,0,2950
0,3,1.5186200994285173,0.3079584836959839,0,2950
1,0,0.45670452297054,0.13494807481765747,0,2950
1,1,0.25342922985873884,0.07266438007354736,0,2950
1,2,0.4328644233974046,0.11764705181121826,0,2950
1,3,0.6238721865447587,0.15224915742874146,0,2950
0,0,1.648820702019293,0.3252595067024231,0,3000
0,1,1.593332354012091,0.3252595067024231,0,3000
0,2,0.8618789948850463,0.21453285217285156,0,3000
0,3,1.5237335600286315,0.3079584836959839,0,3000
1,0,0.4607765116124938,0.13494807481765747,0,3000
1,1,0.25582638758714893,0.07612454891204834,0,3000
