layer,head,delta_loss,delta_accuracy,seed,step
0,0,-0.004046201705932617,0.0,1,0
0,1,-0.002470254898071289,-0.003460206091403961,1,0
0,2,0.007899999618530273,0.0,1,0
0,3,-0.0068302154541015625,0.0,1,0
1,0,-0.0008511543273925781,0.0,1,0
1,1,-0.007094144821166992,0.0,1,0
1,2,0.0040514469146728516,0.0,1,0
1,3,-0.004287242889404297,-0.003460206091403961,1,0
0,0,0.6024099495261908,0.20415222644805908,1,50
0,1,0.750733545050025,0.23183393478393555,1,50
0,2,0.7652466800063848,0.24221456050872803,1,50
0,3,0.8049588706344366,0.25951558351516724,1,50
1,0,0.1586968656629324,0.0449826717376709,1,50
1,1,0.36633231304585934,0.11418682336807251,1,50
1,2,0.7309583332389593,0.23183393478393555,1,50
1,3,0.33798607252538204,0.0968858003616333,1,50
0,0,0.5226415824145079,0.16262978315353394,1,100
0,1,0.7663739155977964,0.21799308061599731,1,100
0,2,0.7698871921747923,0.23875433206558228,1,100
0,3,0.8970754574984312,0.23183393478393555,1,100
1,0,0.15619139187037945,0.05536329746246338,1,100
1,1,0.30576531402766705,0.10034602880477905,1,100
1,2,0.7407268714159727,0.21453285217285156,1,100
1,3,0.31142313592135906,0.07612454891204834,1,100
0,0,0.5132638365030289,0.15570932626724243,1,150
0,1,0.8002776056528091,0.23529410362243652,1,150
0,2,0.8028698712587357,0.24221456050872803,1,150
0,3,0.9441727548837662,0.24221456050872803,1,150
1,0,0.1643998622894287,0.06228375434875488,1,150
1,1,0.3054036647081375,0.11418682336807251,1,150
1,2,0.7805590778589249,0.22491347789764404,1,150
1,3,0.3170141130685806,0.07958477735519409,1,150
0,0,0.50949575251434,0.15916955471038818,1,200
0,1,0.8319729740032926,0.24221456050872803,1,200
0,2,0.8275877410778776,0.24221456050872803,1,200
0,3,0.9803643400082365,0.24913495779037476,1,200
1,0,0.1717441255459562,0.05882352590560913,1,200
1,1,0.30826364702079445,0.11764705181121826,1,200
1,2,0.8158385331043974,0.23875433206558228,1,200
1,3,0.3215987557778135,0.07958477735519409,1,200
0,0,0.5075961956754327,0.15224915742874146,1,250
0,1,0.8597905645146966,0.245674729347229,1,250
0,2,0.843992174603045,0.25259512662887573,1,250
0,3,1.0098216542974114,0.25259512662887573,1,250
1,0,0.17794849071651697,0.05882352590560913,1,250
1,1,0.31171894166618586,0.12110728025436401,1,250
1,2,0.8472800860181451,0.245674729347229,1,250
1,3,0.3257177481427789,0.07612454891204834,1,250
0,0,0.5071411113603972,0.14532870054244995,1,300
0,1,0.8851464371546172,0.24221456050872803,1,300
0,2,0.8559620957239531,0.245674729347229,1,300
0,3,1.0341092328890227,0.2560553550720215,1,300
1,0,0.1832059304579161,0.06228375434875488,1,300
1,1,0.31633484171470627,0.13494807481765747,1,300
1,2,0.8757398109300993,0.2560553550720215,1,300
1,3,0.330190954671707,0.07958477735519409,1,300
0,0,0.5079529983340763,0.14532870054244995,1,350
0,1,0.9087863070308231,0.245674729347229,1,350
0,2,0.8658662540256046,0.25259512662887573,1,350
0,3,1.0546346408664249,0.25951558351516724,1,350
1,0,0.1876735789119266,0.06228375434875488,1,350
1,1,0.32229129498591647,0.1314879059791565,1,350
1,2,0.901915620022919,0.26643598079681396,1,350
1,3,0.3350652260123752,0.07612454891204834,1,350
0,0,0.5098897654970642,0.14186853170394897,1,400
0,1,0.9308451254328247,0.245674729347229,1,400
0,2,0.8748655755480286,0.25259512662887573,1,400
0,3,1.072950049157953,0.25951558351516724,1,400
1,0,0.19173926007351838,0.06574392318725586,1,400
